"id","codigo","nombre","valor_venta","valor_interno","cantidad","categoria","marca"
1,"7702004011565",CERVEZA,4000.0,0.0,19,,REDDS ROS LATA UND
2,"7702004006745",CERVEZA,0.0,0.0,0,,CLUB COL TRIGO LATA UND
3,"7702004006769",CERVEZA,0.0,0.0,0,,CLUB COL TRIGO SIX PACK
4,"7702004003638",CERVEZA,25000.0,0.0,1,,CLUB COL ROJA SIX PACK
5,"7702004003621",CERVEZA,0.0,0.0,0,,CLUB COL ROJA LATA
6,"7702004003539",CERVEZA,23000.0,0.0,4,,CLUB COL DOR SIX PACK
7,"7702004003508",CERVEZA,3900.0,0.0,20,,CLUB COL DOR 330
8,"7702354930783",CERVEZA,6500.0,0.0,3,,POKERON
9,"7702004007360",CERVEZA,3700.0,0.0,22,,POKER LATA UND 330
10,"7702004007377",CERVEZA,22000.0,0.0,34,,POKER SIX PACK
11,"177079310820",CERVEZA,3500.0,0.0,249,,POKER 330 ML
12,"7702004002563",CERVEZA,5000.0,0.0,12,,AGUILA LIGHT LATON UND
13,"7702004001962",CERVEZA,23000.0,0.0,4,,AGUILA LIGHT SIX PACK 330
14,"7708981824754",CERVEZA,4000.0,0.0,9,,AGUILA LIGHT LATA
15,"7702004002051",CERVEZA,4000.0,0.0,126,,AGUILA LIGHT BOT
17,"7702168594300",AGUARDIENTE,32000.0,26600.0,4,,AMARILLO 375
18,"7702168420135",AGUARDIENTE,72000.0,55800.0,2,,AMARILLO 1000
19,"7702168214000",RON,35000.0,24600.0,3,,VIEJO DE CALDAS 375
16,"7702404005034",AGUARDIENTE,29500.0,21700.0,3,,NECTAR VERDE 375
20,"080480985462",BACARDI,58000.0,40400.0,2,,MOJITO 750
21,"7702404005294",AGUARDIENTE,78500.0,63400.0,2,,NECTAR VERDE 1.5
22,"7702404005287",AGUARDIENTE,66000.0,47800.0,2,,NECTAR VERDE LITRO
23,"7702168213508",RON,22500.0,15400.0,2,,VIEJO DE CALDAS 275
24,"7702404001272",RON,18000.0,13100.0,3,,SANTAFE 4 AÃ‘OS 275
25,"080480355609",BACARDI,35000.0,26100.0,2,,LIMON 375
26,"7702354958206",CUATES,5500.0,4400.0,8,,MANGO 269
27,"7702354958213",CUATES,5500.0,4400.0,8,,MARGARITA/FRESA 269
28,"7702354958190",CUATES,5500.0,4400.0,8,,MARGARITA LIMON
29,"7702354953966",LIKE,5500.0,4433.0,6,,CITRUS
30,"7702354953959",LIKE,5500.0,4433.0,6,,APPLE
31,"7702354957407",LIKE,5500.0,4433.0,6,,BLUEBERRY
32,"7702354959272",LIKE,5500.0,4433.0,2,,MANGO
33,"5410316983693",SMIRNOFF,10500.0,6862.0,2,,BOT  ORIGINAL 275
34,"5410316948999",SMIRNOFF,10500.0,6862.0,2,,APPLE BOT 275
35,"5410316997980",SMIRNOFF,9000.0,6566.0,6,,LATA ORIGINAL
36,"5410316945981",SMIRNOFF,9000.0,6566.0,7,,LATA APPLE
37,"7702004110725",CERVEZA,22000.0,16225.0,39,,CORONITA SIX PACK
38,"7702024045205",CERVEZA,4000.0,2704.0,91,,CORONITA UND BOT
39,"5902658105562",CERVEZA,5500.0,3183.0,24,,CORONA UND 330
40,"7702004111548",CERVEZA,25000.0,19100.0,4,,CORONA SIX PACK 330
41,"7702004111586",CERVEZA,4500.0,3500.0,2,,CORONA CERO 330
